#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	1.454	1.319	0.628	0.706	1.000	0.692
1	1.000	0.839	1.456	0.274	0.891	0.000	0.619
2	0.187	0.571	1.181	0.735	0.736	1.000	0.000
3	1.000	1.253	1.436	0.733	0.574	0.000	0.678
4	0.326	1.087	1.027	0.506	0.532	1.000	0.922
5	1.000	0.616	1.479	0.928	0.655	0.000	0.953
6	0.288	1.012	1.340	0.381	0.729	1.000	0.552
7	1.000	1.243	1.112	0.761	0.675	0.000	0.617
8	0.393	1.018	1.428	0.371	0.641	1.000	0.772
9	1.000	0.687	1.418	0.687	0.724	0.000	0.919
#From	To	chi[to]	beta[fr]	lambda
0	0	0.066	0.204	1.000
0	2	0.354	0.796	1.000
1	4	0.141	1.000	1.000
3	4	0.056	1.000	1.000
4	0	0.114	0.841	1.000
4	2	0.058	0.159	1.000
5	0	0.168	0.757	1.000
5	2	0.028	0.243	1.000
6	2	0.301	1.000	1.000
7	0	0.341	0.053	1.000
7	2	0.253	0.471	1.000
7	4	0.262	0.175	1.000
7	6	0.101	0.302	1.000
8	0	0.312	0.248	1.000
8	2	0.007	0.301	1.000
8	4	0.440	0.178	1.000
8	6	0.097	0.274	1.000
9	4	0.102	0.518	1.000
9	6	0.802	0.162	1.000
9	8	1.000	0.319	1.000
