#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.242	1.291	0.143	0.888	0.000	0.642
1	0.393	1.144	1.269	0.957	0.841	1.000	0.509
2	1.000	1.346	1.202	0.976	0.708	0.000	0.961
3	0.136	1.388	1.294	0.150	0.906	1.000	0.888
4	0.093	1.281	1.425	0.984	0.508	1.000	0.857
5	0.311	0.606	1.189	0.012	0.818	1.000	0.546
6	1.000	0.646	1.415	0.976	0.909	0.000	0.621
7	0.145	0.665	1.055	0.356	0.864	1.000	0.926
8	0.258	1.343	1.126	0.610	0.719	1.000	0.631
9	0.627	0.990	1.033	0.517	0.617	1.000	0.883
10	0.393	0.730	1.192	0.265	0.561	1.000	0.000
11	0.241	1.366	1.111	0.546	0.599	1.000	0.506
12	1.000	0.955	1.087	0.497	0.974	0.000	0.600
13	0.393	1.024	1.194	0.100	0.948	1.000	0.978
14	0.107	0.619	1.378	0.990	0.703	1.000	0.000
15	0.149	1.211	1.227	0.729	0.842	1.000	0.720
16	0.148	1.129	1.332	0.679	0.536	1.000	0.891
17	0.145	0.881	1.188	0.224	0.796	1.000	0.518
18	0.336	0.558	1.138	0.860	0.808	1.000	0.900
19	0.055	0.503	1.420	0.410	0.645	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	9	0.559	0.294	1.000
0	18	0.309	0.706	1.000
1	3	0.080	0.194	1.000
1	7	0.319	0.206	1.000
1	8	0.308	0.143	1.000
1	11	0.247	0.050	1.000
1	14	0.129	0.121	1.000
1	16	0.018	0.159	1.000
1	17	0.061	0.127	1.000
2	1	1.000	0.165	1.000
2	5	0.538	0.541	1.000
2	8	0.073	0.111	1.000
2	18	0.672	0.182	1.000
3	3	0.095	0.350	1.000
3	14	0.017	0.496	1.000
3	19	0.388	0.154	1.000
4	14	0.137	1.000	1.000
5	3	0.094	0.304	1.000
5	7	0.079	0.227	1.000
5	14	0.016	0.155	1.000
5	16	0.352	0.060	1.000
5	17	0.387	0.255	1.000
6	3	0.085	0.147	1.000
6	4	0.304	0.060	1.000
6	10	1.000	0.360	1.000
6	13	1.000	0.284	1.000
6	14	0.142	0.148	1.000
7	3	0.126	0.077	1.000
7	4	0.124	0.512	1.000
7	14	0.007	0.411	1.000
8	3	0.038	0.221	1.000
8	7	0.021	0.162	1.000
8	8	0.017	0.203	1.000
8	11	0.300	0.032	1.000
8	14	0.054	0.072	1.000
8	15	0.059	0.070	1.000
8	16	0.209	0.056	1.000
8	17	0.034	0.185	1.000
9	5	0.462	0.413	1.000
9	9	0.441	0.303	1.000
9	18	0.020	0.283	1.000
11	3	0.072	0.100	1.000
11	7	0.064	0.180	1.000
11	8	0.141	0.234	1.000
11	11	0.165	0.058	1.000
11	14	0.143	0.243	1.000
11	15	0.294	0.058	1.000
11	16	0.037	0.019	1.000
11	17	0.041	0.107	1.000
12	3	0.099	0.271	1.000
12	7	0.307	0.160	1.000
12	8	0.161	0.114	1.000
12	11	0.156	0.049	1.000
12	15	0.370	0.143	1.000
12	16	0.384	0.154	1.000
12	17	0.340	0.109	1.000
13	14	0.039	1.000	1.000
14	14	0.072	1.000	1.000
15	3	0.090	0.314	1.000
15	4	0.330	0.286	1.000
15	14	0.008	0.400	1.000
16	3	0.030	0.310	1.000
16	4	0.241	0.455	1.000
16	14	0.121	0.235	1.000
17	3	0.127	0.349	1.000
17	14	0.115	0.621	1.000
17	19	0.612	0.030	1.000
18	3	0.064	0.241	1.000
18	7	0.210	0.009	1.000
18	8	0.299	0.118	1.000
18	11	0.132	0.281	1.000
18	15	0.277	0.254	1.000
18	17	0.137	0.097	1.000
