#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.472	1.442	0.453	0.505	1.000	0.631
1	1.000	0.946	1.024	0.722	0.660	0.000	0.685
2	1.000	1.086	1.205	0.963	0.505	0.000	0.927
3	1.000	0.681	1.379	0.793	0.649	0.000	0.679
4	0.160	1.280	1.019	0.494	0.971	1.000	0.832
5	0.246	1.401	1.261	0.575	0.704	1.000	0.794
6	0.061	0.665	1.238	0.196	0.539	1.000	0.000
7	1.000	0.871	1.127	0.424	0.512	0.000	0.563
8	0.116	0.676	1.294	0.706	0.869	1.000	0.998
9	0.129	1.437	1.110	0.526	0.808	1.000	0.916
10	0.134	1.410	1.274	0.037	0.564	1.000	0.714
11	1.000	0.564	1.326	0.279	0.620	0.000	0.515
12	0.057	1.019	1.296	0.714	0.503	1.000	0.742
13	1.000	0.702	1.144	0.382	0.889	0.000	0.855
14	0.017	0.576	1.091	0.363	0.562	1.000	0.704
15	0.180	0.956	1.069	0.433	0.915	1.000	0.591
16	0.195	1.301	1.080	0.363	0.595	1.000	0.902
17	0.097	1.087	1.197	0.735	0.870	1.000	0.623
18	0.097	1.221	1.475	0.899	0.605	1.000	0.000
19	0.085	1.076	1.048	0.502	0.964	1.000	0.957
20	0.042	0.999	1.387	0.144	0.581	1.000	0.993
21	0.097	1.463	1.130	0.912	0.847	1.000	0.735
22	0.393	1.149	1.086	0.139	0.772	1.000	0.954
23	0.118	1.218	1.131	0.220	0.592	1.000	0.525
24	0.246	0.781	1.271	0.158	0.839	1.000	0.908
25	1.000	1.082	1.258	0.136	0.927	0.000	0.627
26	0.046	1.306	1.371	0.617	0.600	1.000	0.520
27	0.106	1.160	1.418	0.809	0.980	1.000	0.521
28	0.143	0.578	1.299	0.487	0.746	1.000	0.940
29	0.143	0.630	1.317	0.398	0.920	1.000	0.811
#From	To	chi[to]	beta[fr]	lambda
0	5	0.275	0.122	1.000
0	9	0.233	0.109	1.000
0	15	0.206	0.191	1.000
0	16	0.379	0.110	1.000
0	21	1.000	0.080	1.000
0	23	0.107	0.127	1.000
0	28	0.141	0.077	1.000
0	29	0.471	0.184	1.000
1	4	0.149	0.137	1.000
1	6	0.040	0.210	1.000
1	8	0.023	0.104	1.000
1	18	0.101	0.140	1.000
1	23	0.065	0.131	1.000
1	27	0.112	0.278	1.000
2	5	0.198	0.052	1.000
2	9	0.242	0.298	1.000
2	15	0.293	0.081	1.000
2	16	0.621	0.112	1.000
2	23	0.116	0.034	1.000
2	28	0.328	0.214	1.000
2	29	0.026	0.210	1.000
3	5	0.283	1.000	1.000
4	4	0.137	0.171	1.000
4	6	0.005	0.162	1.000
4	8	0.105	0.253	1.000
4	18	0.132	0.261	1.000
4	23	0.097	0.125	1.000
4	27	0.118	0.029	1.000
5	6	0.083	0.220	1.000
5	17	0.171	0.397	1.000
5	19	0.021	0.116	1.000
5	23	0.031	0.173	1.000
5	27	0.023	0.094	1.000
7	6	0.012	0.627	1.000
7	12	0.156	0.161	1.000
7	19	0.154	0.133	1.000
7	27	0.029	0.080	1.000
8	6	0.033	0.118	1.000
8	10	0.942	0.232	1.000
8	12	0.051	0.199	1.000
8	17	0.108	0.075	1.000
8	19	0.131	0.298	1.000
8	27	0.004	0.077	1.000
9	4	0.312	0.074	1.000
9	6	0.032	0.095	1.000
9	18	0.098	0.308	1.000
9	23	0.025	0.219	1.000
9	27	0.119	0.304	1.000
10	6	0.057	0.439	1.000
10	12	0.013	0.155	1.000
10	19	0.112	0.158	1.000
10	27	0.055	0.248	1.000
11	0	0.545	0.173	1.000
11	5	0.166	0.319	1.000
11	22	1.000	0.154	1.000
11	23	0.080	0.035	1.000
11	24	0.581	0.319	1.000
12	6	0.016	1.000	1.000
13	6	0.053	0.045	1.000
